35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
0.3084099889;336.7077026;0.6063050032;394.3828735;360;191.9327393;420;1.291939497
0.3134199977;353.4112854;0.6163250208;391.7819214;361.0700073;179.4063568;421.9599915;1.38643074
0.3184300065;339.1676636;0.6263449788;390.3076782;362;167.7708588;423.9299927;1.180785418
0.3234399855;342.9629517;0.6363649964;388.0949097;363.0700073;154.8123169;426.0599976;1.79890132
0.3284499943;338.266449;0.6463850141;385.6384277;364;144.5476685;428.0299988;2.579799414
0.3334600031;347.9191895;0.6564049721;383.3166809;365.0700073;135.6074524;430;1.717658877
0.3384700119;336.8914185;0.6664249897;382.4608765;366;132.2150116;432;2.474985838
0.343479991;335.3215027;0.6764450073;379.7958984;367.0700073;129.3675842;434;2.292618752
0.3484899998;339.059082;0.6864650249;377.9296875;368;125.8927994;436;3.134431601
0.3535000086;327.5604553;0.696484983;375.7714233;369.0700073;120.2949982;438;3.906833887
0.3585099876;322.1953735;0.7065050006;373.7740479;370;113.6441879;440;4.928199291
0.3635199964;321.7332153;0.7165250182;371.8342896;371.0700073;104.1611557;441.9599915;6.345449448
0.3685300052;320.7041016;0.7265449762;369.6307678;372;97.88387299;443.9299927;8.259583473
0.3735399842;322.9033203;0.7365649939;367.3004456;373.0700073;89.16055298;446.0599976;9.671945572
0.378549993;319.7299194;0.7465850115;366.9293823;374;80.32550049;448.0299988;12.32171345
0.3835600019;312.9072266;0.7566049695;365.209259;375.0700073;71.30812073;450;16.58540344
0.3885700107;313.4725647;0.7666249871;362.2285156;376;66.02463531;451.9599915;24.96315956
0.3935799897;311.2420044;0.7766450047;360.2947388;377.0700073;63.69755554;453.9299927;37.08843231
0.3985899985;311.8137817;0.7866650224;358.828064;378;61.25440598;456.0599976;49.66693115
0.4036000073;303.2293091;0.7966849804;356.2113647;379.0700073;61.46824265;458.0299988;72.78050232
0.4086099863;301.0178223;0.806704998;354.8171997;380;58.45302582;460;109.148819
0.4136199951;305.4421997;0.8167250156;352.088562;381.0700073;54.51197052;461.9599915;199.6826935
0.4186300039;298.2454224;0.8267449737;352.0036621;382;51.96912003;463.9299927;333.2310181
0.4236399829;310.7581177;0.8367649913;348.6954956;383.0700073;48.77142334;466.0599976;493.7259827
0.4286499918;299.2959595;0.8467850089;347.3851624;384;43.45079041;468.0299988;667.5100098
0.4336600006;290.5438843;0.8568049669;345.3811646;385.0700073;41.04650116;470;731.9284668
0.4386700094;294.9961548;0.8668249846;344.020874;386;38.47210693;471.9400024;744.1748657
0.4436799884;301.5531616;0.8768450022;341.7805176;387.0700073;35.00934982;474.019989;699.4604492
0.4486899972;295.0028992;0.8868650198;339.6762085;388;32.94804764;475.9700012;646.1747437
